0.112 	 0.002284 	 1.045365 	 0.25 
0.113 	 0.002341 	 1.045582 	 0.25 
0.114 	 0.002399 	 1.045795 	 0.25 
0.115 	 0.002458 	 1.046004 	 0.25 
0.116 	 0.002518 	 1.046208 	 0.25 
0.117 	 0.002579 	 1.046408 	 0.25 
0.118 	 0.002641 	 1.046604 	 0.25 
0.119 	 0.002704 	 1.046795 	 0.25 
0.120 	 0.002767 	 1.046982 	 0.25 
0.121 	 0.002832 	 1.047164 	 0.25 
0.122 	 0.002897 	 1.047342 	 0.25 
0.123 	 0.002963 	 1.047515 	 0.25 
0.124 	 0.003030 	 1.047684 	 0.25 
0.125 	 0.003098 	 1.047849 	 0.25 
0.126 	 0.003167 	 1.048009 	 0.25 
0.127 	 0.003237 	 1.048164 	 0.25 
0.128 	 0.003308 	 1.048315 	 0.25 
0.129 	 0.003379 	 1.048462 	 0.25 
0.130 	 0.003452 	 1.048604 	 0.25 
0.131 	 0.003525 	 1.048741 	 0.25 
0.132 	 0.003600 	 1.048874 	 0.25 
0.133 	 0.003675 	 1.049002 	 0.25 
0.134 	 0.003751 	 1.049126 	 0.25 
0.135 	 0.003828 	 1.049246 	 0.25 
0.136 	 0.003906 	 1.049360 	 0.25 
0.137 	 0.003985 	 1.049471 	 0.25 
0.138 	 0.004065 	 1.049576 	 0.25 
0.139 	 0.004145 	 1.049677 	 0.25 
0.140 	 0.004227 	 1.049774 	 0.25 
0.141 	 0.004309 	 1.049866 	 0.25 
0.142 	 0.004393 	 1.049953 	 0.25 
0.143 	 0.004477 	 1.050036 	 0.25 
0.144 	 0.004562 	 1.050114 	 0.25 
0.145 	 0.004649 	 1.050188 	 0.25 
0.146 	 0.004736 	 1.050257 	 0.25 
0.147 	 0.004824 	 1.050322 	 0.25 
0.148 	 0.004913 	 1.050382 	 0.25 
0.149 	 0.005002 	 1.050437 	 0.25 
0.150 	 0.005093 	 1.050488 	 0.25 
0.151 	 0.005185 	 1.050535 	 0.25 
0.152 	 0.005277 	 1.050576 	 0.25 
0.153 	 0.005371 	 1.050614 	 0.25 
0.154 	 0.005465 	 1.050646 	 0.25 
0.155 	 0.005560 	 1.050675 	 0.25 
0.156 	 0.005656 	 1.050698 	 0.25 
0.157 	 0.005754 	 1.050718 	 0.25 
0.158 	 0.005852 	 1.050732 	 0.25 
0.159 	 0.005950 	 1.050742 	 0.25 
0.160 	 0.006050 	 1.050748 	 0.25 
0.161 	 0.006151 	 1.050749 	 0.25 
0.162 	 0.006252 	 1.050746 	 0.25 
0.163 	 0.006355 	 1.050738 	 0.25 
0.164 	 0.006458 	 1.050726 	 0.25 
0.165 	 0.006562 	 1.050710 	 0.25 
0.166 	 0.006667 	 1.050689 	 0.25 
0.167 	 0.006773 	 1.050663 	 0.25 
0.168 	 0.006880 	 1.050633 	 0.25 
0.169 	 0.006988 	 1.050599 	 0.25 
0.170 	 0.007096 	 1.050561 	 0.25 
0.171 	 0.007206 	 1.050518 	 0.25 
0.172 	 0.007316 	 1.050470 	 0.25 
0.173 	 0.007427 	 1.050419 	 0.25 
0.174 	 0.007539 	 1.050363 	 0.25 
0.175 	 0.007652 	 1.050303 	 0.25 
0.176 	 0.007766 	 1.050238 	 0.25 
0.177 	 0.007881 	 1.050169 	 0.25 
0.178 	 0.007996 	 1.050096 	 0.25 
0.179 	 0.008112 	 1.050019 	 0.25 
0.180 	 0.008230 	 1.049938 	 0.25 
0.181 	 0.008348 	 1.049852 	 0.25 
0.182 	 0.008466 	 1.049762 	 0.25 
0.183 	 0.008586 	 1.049669 	 0.25 
0.184 	 0.008706 	 1.049571 	 0.25 
0.185 	 0.008828 	 1.049468 	 0.25 
0.186 	 0.008950 	 1.049362 	 0.25 
